id,category,question,answer
1,Artificial Intelligence,What is Artificial Intelligence?,"Artificial Intelligence (AI) is the field of computer science that builds systems capable of performing tasks that normally require human intelligence, such as reasoning, learning, perception, and decision making."
2,Artificial Intelligence,What is an AI agent?,"An AI agent is a system that perceives its environment, processes information, and takes actions to achieve a goal."
3,Artificial Intelligence,What is supervised AI?,"Supervised AI usually refers to AI systems trained with labeled examples, where each training input is paired with a known target or answer."
4,Artificial Intelligence,What is weak AI?,"Weak AI, or narrow AI, is designed to perform specific tasks rather than possessing general human-like intelligence."
5,Artificial Intelligence,What is artificial general intelligence?,Artificial General Intelligence (AGI) is a hypothetical form of AI that could perform a broad range of intellectual tasks across domains at a human-like level.
6,Artificial Intelligence,What is a knowledge base?,"A knowledge base is an organized collection of facts, rules, documents, or question-answer pairs that an information system can use to answer queries."
7,Artificial Intelligence,What is expert system?,An expert system is an AI application that uses domain knowledge and inference rules to solve problems in a specialized area.
8,Artificial Intelligence,What is inference in AI?,"Inference is the process of using available information, learned patterns, or rules to derive a conclusion or prediction."
9,Artificial Intelligence,What is machine perception?,"Machine perception is the ability of a computer system to interpret information from inputs such as images, audio, text, or sensors."
10,Artificial Intelligence,What is computer vision?,Computer vision is an AI field that enables computers to interpret and analyze visual information such as images and videos.
11,Artificial Intelligence,What is natural language processing?,"Natural Language Processing (NLP) is an AI field focused on enabling computers to process, understand, and generate human language."
12,Artificial Intelligence,What is speech recognition?,Speech recognition converts spoken language into machine-readable text or structured information.
13,Artificial Intelligence,What is recommendation system?,"A recommendation system predicts items, content, or services that may be relevant to a user based on data such as preferences, behavior, or item similarity."
14,Artificial Intelligence,What is search in AI?,Search in AI explores possible states or solutions to find an action sequence or solution that satisfies a goal.
15,Artificial Intelligence,What is heuristic?,A heuristic is a rule or estimate used to guide search toward promising solutions without exhaustively evaluating every possibility.
16,Artificial Intelligence,What is explainable AI?,Explainable AI focuses on making an AI system's predictions or decisions understandable to people.
17,Artificial Intelligence,What is AI bias?,"AI bias occurs when systematic patterns in data, design, or evaluation cause an AI system to produce unfair or skewed outcomes."
18,Artificial Intelligence,What is model evaluation?,Model evaluation measures how well an AI or machine learning system performs on data using suitable metrics and test procedures.
19,Artificial Intelligence,What is responsible AI?,"Responsible AI is the practice of developing and deploying AI with attention to reliability, fairness, transparency, privacy, safety, and accountability."
20,Artificial Intelligence,What is automation using AI?,AI automation uses models or intelligent decision systems to perform tasks that previously required repeated manual judgment or processing.
21,Machine Learning,What is Machine Learning?,"Machine Learning (ML) is a branch of AI in which algorithms learn patterns from data to make predictions, classifications, or decisions."
22,Machine Learning,What is supervised learning?,Supervised learning trains a model using labeled input-output examples so it can learn to predict the target for new inputs.
23,Machine Learning,What is unsupervised learning?,Unsupervised learning finds patterns or structure in data without using predefined target labels.
24,Machine Learning,What is reinforcement learning?,"Reinforcement learning trains an agent through interactions with an environment, using rewards or penalties to encourage useful behavior."
25,Machine Learning,What is classification?,Classification is a supervised learning task in which a model predicts a discrete class or category.
26,Machine Learning,What is regression?,Regression is a supervised learning task in which a model predicts a continuous numerical value.
27,Machine Learning,What is clustering?,Clustering groups similar data points together without requiring predefined class labels.
28,Machine Learning,What is linear regression?,Linear regression models the relationship between input variables and a continuous target using a linear function.
29,Machine Learning,What is logistic regression?,Logistic regression is a classification algorithm that estimates class probabilities using a logistic function.
30,Machine Learning,What is decision tree?,A decision tree predicts an outcome by applying a sequence of feature-based decision rules represented as a tree.
31,Machine Learning,What is random forest?,Random forest is an ensemble method that combines predictions from many decision trees to improve generalization and robustness.
32,Machine Learning,What is K-nearest neighbors?,K-nearest neighbors (KNN) predicts a sample's class or value using the labels or values of its closest training examples.
33,Machine Learning,What is support vector machine?,A Support Vector Machine (SVM) finds a decision boundary that separates classes while maximizing the margin between them.
34,Machine Learning,What is overfitting?,"Overfitting occurs when a model learns training data too closely, including noise, and performs poorly on unseen data."
35,Machine Learning,What is underfitting?,"Underfitting occurs when a model is too simple to capture important patterns in the data, leading to poor training and test performance."
36,Machine Learning,What is cross validation?,Cross-validation repeatedly splits data into training and validation portions to estimate how well a model generalizes.
37,Machine Learning,What is feature engineering?,"Feature engineering creates, transforms, or selects input variables so that a machine learning model can learn useful patterns more effectively."
38,Machine Learning,What is feature scaling?,"Feature scaling transforms numerical features to comparable ranges, which can be important for distance-based and gradient-based algorithms."
39,Machine Learning,What is hyperparameter tuning?,"Hyperparameter tuning searches for useful settings such as learning rate, tree depth, or number of neighbors before or during model training."
40,Machine Learning,What is data leakage?,"Data leakage occurs when information that would not be available at prediction time improperly enters model training, producing overly optimistic evaluation results."
41,Deep Learning,What is Deep Learning?,Deep learning is a machine learning approach that uses neural networks with multiple computational layers to learn complex representations from data.
42,Deep Learning,What is a neural network?,A neural network is a computational model made of connected layers of units that transform inputs and learn parameters from data.
43,Deep Learning,What is a neuron?,"A neuron is a basic neural-network unit that combines inputs using learned weights and a bias, then applies an activation function."
44,Deep Learning,What is an activation function?,An activation function introduces non-linearity into a neural network so it can learn complex relationships.
45,Deep Learning,What is ReLU?,"ReLU, or Rectified Linear Unit, outputs zero for negative inputs and the input itself for positive inputs, and is widely used in hidden neural-network layers."
46,Deep Learning,What is sigmoid activation?,The sigmoid function maps a real-valued input to a value between 0 and 1 and is often used for binary probability outputs.
47,Deep Learning,What is softmax?,"Softmax converts a vector of scores into values that sum to one, making it useful for multi-class probability outputs."
